FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG13628	HOG09415								added via ODB8				Putative chitinase
FOG13630	HOG09417								added via ODB8			mitochondrial translation regulator Ppr4	
FOG13631	HOG09418								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN12323, A. fumigatus Af293 : Afu1g05650, A. oryzae RIB40 : AO090009000372, Neosartorya fischeri NRRL 181 : NFIA_019100 and Aspergillus wentii : Aspwe1_0037223
FOG13632	HOG09419								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN0085, A. fumigatus Af293 : Afu5g12170, A. oryzae RIB40 : AO090120000334, Aspergillus wentii : Aspwe1_0026669 and Aspergillus sydowii : Aspsy1_0040526
FOG13633	HOG09420												Has domain(s) with predicted ATP binding, ATP-dependent helicase activity, helicase activity, nucleic acid binding activity
FOG13634	HOG09421												Protein of unknown function|Ortholog of A. oryzae RIB40 : AO090020000361, Neosartorya fischeri NRRL 181 : NFIA_004050, Aspergillus wentii : Aspwe1_0191821 and Aspergillus versicolor : Aspve1_0057912, Aspve1_0065669
FOG13637	HOG09424								added via ODB8				Has domain(s) with predicted nucleic acid binding, zinc ion binding activity
FOG13638	HOG09425	HUG1	HUG1						added via ODB8		Protein involved in the Mec1p-mediated checkpoint pathway; transcription is induced by DNA damage; protein abundance increases in response to DNA replication stress		
FOG13640	HOG09427								added via ODB8				Protein of unknown function
FOG13642	HOG09429								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN12174, Aspergillus wentii : Aspwe1_0242207, Aspergillus versicolor : Aspve1_0672044, Aspergillus zonatus : Aspzo1_0698640 and Aspergillus sydowii : Aspsy1_0088785
FOG13644	HOG09431								added via ODB8				Protein of unknown function
FOG13646	HOG09433								added via ODB8				Ortholog of Aspergillus brasiliensis : Aspbr1_0048081, Aspergillus kawachii : Aspka1_0176842, Aspergillus acidus : Aspfo1_0061852 and Aspergillus niger ATCC 1015 : 37798-mRNA
FOG13647	HOG09434												Has domain(s) with predicted oxidoreductase activity, transferase activity, transferring acyl groups other than amino-acyl groups, zinc ion binding activity and role in oxidation-reduction process
FOG13648	HOG09435										Putative protein of unknown function; localizes to the membrane fraction; possible Zap1p-regulated target gene induced by zinc deficiency; YJL132W is a non-essential gene		
FOG13652	HOG09439	TPT1	TPT1								tRNA 2'-phosphotransferase that catalyzes final step in tRNA splicing: the transfer of the 2'-PO(4) from the splice junction to NAD(+) to form ADP-ribose 1''-2''cyclic phosphate and nicotinamide	tRNA 2'-phosphotransferase Tpt1 (predicted)	Ortholog(s) have tRNA 2'-phosphotransferase activity, role in tRNA splicing, via endonucleolytic cleavage and ligation and cytoplasm, nucleus localization
FOG13653	HOG09440								added via ODB8				Ortholog of A. fumigatus Af293 : Afu3g13180, A. oryzae RIB40 : AO090012000814, Neosartorya fischeri NRRL 181 : NFIA_064160 and Aspergillus wentii : Aspwe1_0170078
FOG13654	HOG09441								added via ODB8				Protein of unknown function
FOG13655	HOG09442												Ortholog of A. nidulans FGSC A4 : AN8237, A. fumigatus Af293 : Afu5g03730, A. oryzae RIB40 : AO090102000583, Aspergillus wentii : Aspwe1_0114603 and Aspergillus sydowii : Aspsy1_0161802
FOG13658	HOG09445	OKP1	OKP1								Outer kinetochore protein required for accurate chromosome segregation; component of COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) a kinetochore sub-complex which functions as a platform for kinetochore assembly; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-Q and fission yeast fta7		
FOG13659	HOG09446												Has domain(s) with predicted isochorismate synthase activity, oxo-acid-lyase activity and role in biosynthetic process|Has domain(s) with predicted isochorismate synthase activity, oxo-acid-lyase activity and role in biosynthetic process
FOG13660	HOG09447								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN2703, A. fumigatus Af293 : Afu5g13990, A. oryzae RIB40 : AO090113000104, Aspergillus wentii : Aspwe1_0453318 and Aspergillus sydowii : Aspsy1_0155176
FOG13662	HOG09449												Has domain(s) with predicted UDP-N-acetylmuramate dehydrogenase activity, flavin adenine dinucleotide binding, oxidoreductase activity, acting on CH-OH group of donors activity and role in oxidation-reduction process|Has domain(s) with predicted UDP-N-acetylmuramate dehydrogenase activity, flavin adenine dinucleotide binding, oxidoreductase activity, acting on CH-OH group of donors activity and role in oxidation-reduction process
FOG13663	HOG09450								added via ODB8				Putative exopolygalacturonase/exoxylogalacturonan hydrolase; predicted signal peptide secretion sequence
FOG13666	HOG09453	GRR1	GRR1								F-box protein component of an SCF ubiquitin-ligase complex; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCF(Grr1) complex; SCF(Grr1) acts as a ubiquitin-protein ligase directing ubiquitination of substrates such as: Gic2p, Mks1p, Mth1p, Cln1p, Cln2p and Cln3p; involved in carbon catabolite repression, glucose-dependent divalent cation transport, glucose transport, morphogenesis, and sulfite detoxification	F-box protein Pof2	Ortholog(s) have role in G1/S transition of mitotic cell cycle, ascospore formation, pseudohyphal growth and SCF ubiquitin ligase complex, mitochondrion localization
FOG13670	HOG09457								added via ODB8			centromere protein Mis20/Eic2	
FOG13673	HOG09460								added via ODB8		Putative protein of unknown function		
FOG13678	HOG09465								added via ODB8				Ortholog of A. fumigatus Af293 : Afu3g11355, Aspergillus clavatus NRRL 1 : ACLA_039250, Aspergillus zonatus : Aspzo1_0012400 and Aspergillus carbonarius ITEM 5010 : Acar5010_203639
FOG13680	HOG09467								added via ODB8		Putative protein of unknown function; mutant has decreased Ty3 transposition; YLR125W is not an essential gene		
FOG13683	HOG09470												Ortholog(s) have extracellular region localization
FOG13685	HOG09472								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4902, A. oryzae RIB40 : AO090003001585, Neosartorya fischeri NRRL 181 : NFIA_066360, Aspergillus wentii : Aspwe1_0025074 and Aspergillus clavatus NRRL 1 : ACLA_038800
FOG13686	HOG09473								added via ODB8			meiotically upregulated gene Mug97	
FOG13688	HOG09475								added via ODB8				Has domain(s) with predicted catalytic activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds activity and role in carbohydrate metabolic process
FOG13689	HOG09476								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4600, A. fumigatus Af293 : Afu2g02210, Aspergillus wentii : Aspwe1_0104597, Aspergillus sydowii : Aspsy1_0180963 and Aspergillus terreus NIH2624 : ATET_05692
FOG13690	HOG09477								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN6579, A. fumigatus Af293 : Afu6g04470, A. oryzae RIB40 : AO090701000109, Aspergillus wentii : Aspwe1_0179993 and Aspergillus terreus NIH2624 : ATET_07015
FOG13691	HOG09478								added via ODB8			mitochondrial ribosomal protein subunit L51-b (predicted)	
FOG13692	HOG09479								added via ODB8				Ortholog of Aspergillus brasiliensis : Aspbr1_0139467, Aspbr1_0672015
FOG13693	HOG09480								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN1497, A. fumigatus Af293 : Afu8g04990, Neosartorya fischeri NRRL 181 : NFIA_097800 and Aspergillus versicolor : Aspve1_0125683
FOG13694	HOG09481								added via ODB8			origin recognition complex subunit Orc6	
FOG13695	HOG09482												Ortholog of Aspergillus tubingensis : Asptu1_0054257, Aspergillus brasiliensis : Aspbr1_0193903, Aspergillus kawachii : Aspka1_0182013 and Aspergillus acidus : Aspfo1_0056361|Ortholog of Aspergillus carbonarius ITEM 5010 : Acar5010_051121|Protein of unknown function
FOG13696	HOG09483	REG2	REG2						added via ODB8		Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease; REG2 has a paralog, REG1, that arose from the whole genome duplication		
FOG13698	HOG09485	MRX12	MRX12								Protein that associates with mitochondrial ribosome; detected in highly purified mitochondria in high-throughput studies; predicted to be involved in ribosome biogenesis		
FOG13701	HOG09488		SNF12;RSC6								73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog, RSC6, that arose from the whole genome duplication|Component of the RSC chromatin remodeling complex; essential for mitotic growth; RSC6 has a paralog, SNF12, that arose from the whole genome duplication	SWI/SNF and RSC complex subunit Ssr3	Ortholog(s) have RSC complex, SWI/SNF complex, cytosol localization
FOG13702	HOG09489								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3237, AN11103, A. fumigatus Af293 : Afu6g02400, A. niger CBS 513.88 : An12g08350 and A. oryzae RIB40 : AO090023000655, AO090120000127
FOG13703	HOG09490	RAD3	RAD3								5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress	transcription factor TFIIH complex subunit Rad15	Ortholog(s) have ATP-dependent 5'-3' DNA helicase activity, damaged DNA binding activity
FOG13705	HOG09492												Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization
FOG13706	HOG09493												Ortholog of A. nidulans FGSC A4 : AN1386, A. fumigatus Af293 : Afu1g08920, A. oryzae RIB40 : AO090005001634, Aspergillus wentii : Aspwe1_0036270 and Aspergillus sydowii : Aspsy1_0138746
FOG13707	HOG09494	COG6	COG6								Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	Golgi transport complex peripheral subunit Cog6 (predicted)	Ortholog(s) have cell division site, cytosol, nucleus localization
FOG13708	HOG09495	RRP5	RRP5								RNA binding protein involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; has binding preference for single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress	U3 snoRNP-associated protein Rrp5 (predicted)	Ortholog(s) have nucleolus localization
FOG13709	HOG09496												Putative polyketide synthase (PKS), encoded in a predicted secondary metabolite gene cluster|Putative polyketide synthase (PKS), encoded in a predicted secondary metabolite gene cluster|Putative polyketide synthase (PKS) involved in both dihydroxynaphthalene (DHN) melanin and naphtho-gamma-pyrone production; required for wild-type black spore pigmentation; mutants have reduced ornamention on the conidial cell surface
FOG13710	HOG09496					paralog:FOG13709							Putative polyketide synthase (PKS), encoded in a predicted secondary metabolite gene cluster
FOG13716	HOG09502								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3585, A. fumigatus Af293 : Afu4g12940, A. oryzae RIB40 : AO090009000293, Neosartorya fischeri NRRL 181 : NFIA_103400 and Aspergillus versicolor : Aspve1_0862034
FOG13720	HOG09506								added via ODB8				Ortholog of A. oryzae RIB40 : AO090120000038, Aspergillus brasiliensis : Aspbr1_0056806, Aspbr1_0669219, Aspergillus flavus NRRL 3357 : AFL2T_08074 and Aspergillus aculeatus ATCC16872 : Aacu16872_047628
FOG13723	HOG09509								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN2488, A. fumigatus Af293 : Afu3g00500, Afu4g03010, A. oryzae RIB40 : AO090012000174 and Aspergillus wentii : Aspwe1_0176515, Aspwe1_0622364
FOG13724	HOG09510										Protein of unknown function; localized to the mitochondrial outer membrane		
FOG13726	HOG09512								added via ODB8		Putative protein of unknown function; predicted by computational methods to be involved in mRNA degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm		
FOG13727	HOG09513												Ortholog of A. niger CBS 513.88 : An18g03620, Aspergillus wentii : Aspwe1_0032252, Aspwe1_0044843, Aspwe1_0181951, Aspwe1_0688816 and Aspergillus niger ATCC 1015 : 42823-mRNA, 43685-mRNA|Ortholog of A. niger CBS 513.88 : An12g01300, Aspergillus wentii : Aspwe1_0032252, Aspwe1_0044843, Aspwe1_0181951, Aspwe1_0688816 and Aspergillus niger ATCC 1015 : 42823-mRNA, 43685-mRNA
FOG13728	HOG09514								added via ODB8			alpha-aminoadipate reductase phosphopantetheinyl transferase Lys7	
FOG13729	HOG09515								added via ODB8			nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1 (predicted)	
FOG13730	HOG09516												Ortholog(s) have role in conidium formation, negative regulation of conidium formation, positive regulation of sexual sporulation resulting in formation of a cellular spore, sexual sporulation resulting in formation of a cellular spore
FOG13731	HOG09517								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN2411, A. fumigatus Af293 : Afu2g13660, A. oryzae RIB40 : AO090026000242, Aspergillus wentii : Aspwe1_0045469 and Aspergillus sydowii : Aspsy1_0341196
FOG13733	HOG09519	ISF1	ISF1						added via ODB8		Serine-rich, hydrophilic protein; overexpression suppresses growth defects of hap2, hap3, and hap4 mutants; expression is under glucose control; cotranscribed with NAM7 in a cyp1 mutant; ISF1 has a paralog, MBR1, that arose from the whole genome duplication		
FOG13735	HOG09521											DUF1445 family mitochondrial protein (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG13737	HOG09523								added via ODB8				Has domain(s) with predicted zinc ion binding activity
FOG13739	HOG09525												Ortholog(s) have role in F-9775A biosynthetic process, F-9775B biosynthetic process
FOG13740	HOG09526								added via ODB8				Ortholog(s) have S-adenosylmethionine-dependent methyltransferase activity, mRNA binding activity and role in lipid homeostasis
FOG13742	HOG09528												Ortholog(s) have carboxylic ester hydrolase activity, lipase activity|Ortholog(s) have carboxylic ester hydrolase activity, lipase activity
FOG13743	HOG09529								added via ODB8				Protein of unknown function
FOG13745	HOG09531												Protein of unknown function
FOG13746	HOG09532	PEX3	PEX3								Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p		Ortholog(s) have protein binding, bridging activity and role in ER-dependent peroxisome organization, fatty acid metabolic process, hyphal growth, peroxisome inheritance, protein import into peroxisome membrane
FOG13753	HOG09539	CAF130	CAF130								Subunit of the CCR4-NOT transcriptional regulatory complex; CCR4-NOT complex is evolutionarily-conserved and involved in controlling mRNA initiation, elongation, and degradation		
FOG13756	HOG09542								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0052118
FOG13758	HOG09544								added via ODB8				Protein of unknown function
FOG13764	HOG09550	SDH7	SDH7								Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family	mitochondrial respiratory chain complex II assembly ACN9 family protein Sdh7 (predicted)	
FOG13766	HOG09552								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3872, AN5090, A. fumigatus Af293 : Afu1g01360, Aspergillus wentii : Aspwe1_0037446, Aspergillus sydowii : Aspsy1_0121091 and Aspergillus terreus NIH2624 : ATET_06529
FOG13767	HOG09553								added via ODB8				Ortholog of A. niger CBS 513.88 : An01g06730, Neosartorya fischeri NRRL 181 : NFIA_002820, Aspergillus wentii : Aspwe1_0172188, Aspwe1_0173158, Aspwe1_0185713 and Aspergillus versicolor : Aspve1_0065322
FOG13769	HOG09555								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0195972, Aspergillus acidus : Aspfo1_0085824, Aspergillus niger ATCC 1015 : 43895-mRNA and Aspergillus carbonarius ITEM 5010 : Acar5010_401331
FOG13770	HOG09556												Enoyl-ACP reductase
FOG13771	HOG09557								added via ODB8				Ortholog(s) have dioxygenase activity and role in austinol biosynthetic process, dehydroaustinol biosynthetic process, verruculogen biosynthetic process
FOG13774	HOG09560								added via ODB8				Protein of unknown function
FOG13776	HOG09562											meiotic dynein intermediate chain Dic1	Ortholog(s) have microtubule plus-end binding activity and role in ascospore formation, dynein-driven meiotic oscillatory nuclear movement, syncytium formation by plasma membrane fusion
FOG13777	HOG09563	SRP72	SRP72								Core component of the signal recognition particle (SRP); the SRP is a ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	signal recognition particle subunit Srp72 (predicted)	Ortholog(s) have role in SRP-dependent cotranslational protein targeting to membrane, translocation and cytosol, nucleus, signal recognition particle, endoplasmic reticulum targeting localization
FOG13778	HOG09564												Ortholog of A. nidulans FGSC A4 : AN2209, A. fumigatus Af293 : Afu5g07010, A. oryzae RIB40 : AO090701000283, Aspergillus wentii : Aspwe1_0269169 and Aspergillus sydowii : Aspsy1_0054348
FOG13785	HOG09571		;;;;;;;;;;;;;;;;;;								||||Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching|||||||||||Putative protein of unknown function|||		
FOG13786	HOG09572								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0189642, Aspergillus brasiliensis : Aspbr1_0380846, Aspergillus kawachii : Aspka1_0174687 and Aspergillus acidus : Aspfo1_0483684
FOG13787	HOG09573								added via ODB8			Schizosaccharomyces specific protein Mug168	
FOG13788	HOG09574								added via ODB8			cytochrome c oxidase assembly protein Cox14 (predicted)	
FOG13789	HOG09575								added via ODB8			Schizosaccharomyces specific protein Mug20	
FOG13790	HOG09576	PGA1	PGA1								Essential component of GPI-mannosyltransferase II; complex is responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interactions with secretory pathway genes		
FOG13795	HOG09581	MSA2	MSA2						added via ODB8		Putative transcriptional activator; interacts with G1-specific transcription factor MBF and G1-specific promoters; MSA2 has a paralog, MSA1, that arose from the whole genome duplication		
FOG13796	HOG09582												Putative woronin body protein
FOG13802	HOG09588	SHQ1	SHQ1								Chaperone protein; required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing; functions as an RNA mimic; forms a complex with Naf1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; homology with known Hsp90p cochaperones; relocalizes to the cytosol in response to hypoxia	box H/ACA snoRNP assembly protein Shq1 (predicted)	
FOG13805	HOG09591	MAK3	MAK3								Catalytic subunit of the NatC type N-terminal acetyltransferase; involved in subcellular targeting of select N-terminally acetylated substrates to the Golgi apparatus (Arl3p and Grh1p) and the inner nuclear membrane (Trm1p); required for replication of dsRNA virus	NatC N-acetyltransferase complex catalytic subunit Naa30 (predicted)	Ortholog(s) have peptide alpha-N-acetyltransferase activity, role in N-terminal protein amino acid acetylation, regulation of protein localization and NatC complex, cytosol, nucleus localization
FOG13808	HOG09594								added via ODB8				Protein of unknown function|Ortholog of A. nidulans FGSC A4 : AN7868, AN1866, A. fumigatus Af293 : Afu2g04540, A. oryzae RIB40 : AO090003000256 and Neosartorya fischeri NRRL 181 : NFIA_057620, NFIA_081290
FOG13809	HOG09595								added via ODB8				Glycerate dehydrogenase
FOG13810	HOG09596												Has domain(s) with predicted catalytic activity, coenzyme binding activity and role in cellular metabolic process
FOG13811	HOG09597								added via ODB8				Ortholog of A. fumigatus Af293 : Afu4g02680, A. oryzae RIB40 : AO090005000330, Neosartorya fischeri NRRL 181 : NFIA_031130 and Aspergillus wentii : Aspwe1_0175939
FOG13812	HOG09598										Putative protein of unknown function	Lazarus1 family transmembrane transporter	Ortholog of A. nidulans FGSC A4 : AN6328, A. fumigatus Af293 : Afu2g13512, A. oryzae RIB40 : AO090026000262, Aspergillus wentii : Aspwe1_0163563 and Aspergillus sydowii : Aspsy1_0997059
FOG13813	HOG09599								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4676, A. fumigatus Af293 : Afu5g09010, A. oryzae RIB40 : AO090020000473, Aspergillus sydowii : Aspsy1_0059438 and Aspergillus terreus NIH2624 : ATET_06565
FOG13815	HOG09601												Putative ethanolamine kinase
FOG13816	HOG09602										Protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene; protein abundance increases in response to DNA replication stress	WD40/YVTN repeat-like protein	
FOG13817	HOG09603												Ortholog(s) have role in chanoclavine-I biosynthetic process, emericellamide A biosynthetic process|Ortholog(s) have role in chanoclavine-I biosynthetic process, emericellamide A biosynthetic process|Ortholog(s) have role in chanoclavine-I biosynthetic process, emericellamide A biosynthetic process|Ortholog(s) have role in chanoclavine-I biosynthetic process, emericellamide A biosynthetic process
FOG13818	HOG09604								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0064713, Aspergillus brasiliensis : Aspbr1_0201205, Aspergillus kawachii : Aspka1_0182890 and Aspergillus acidus : Aspfo1_0157741
FOG13820	HOG09606	RPN1	RPN1								Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle	19S proteasome regulatory subunit Mts4	Ortholog(s) have role in proteasome-mediated ubiquitin-dependent protein catabolic process and cytosol, nuclear periphery localization
FOG13826	HOG09612								added via ODB8				Ortholog of Aspergillus brasiliensis : Aspbr1_0194368 and Aspergillus kawachii : Aspka1_0173295
FOG13827	HOG09613								added via ODB8				Protein of unknown function
FOG13831	HOG09617												Ortholog of A. nidulans FGSC A4 : AN3299, A. fumigatus Af293 : Afu2g00590, A. oryzae RIB40 : AO090103000485, Aspergillus wentii : Aspwe1_0026517 and Aspergillus sydowii : Aspsy1_0029988
FOG13833	HOG09619								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0032738, Aspergillus brasiliensis : Aspbr1_0030951, Aspergillus kawachii : Aspka1_0172987 and Aspergillus acidus : Aspfo1_0044950
FOG13835	HOG09621												Ortholog of A. fumigatus Af293 : Afu2g07840, A. oryzae RIB40 : AO090701000806, Neosartorya fischeri NRRL 181 : NFIA_083550, Aspergillus wentii : Aspwe1_0629899 and Aspergillus versicolor : Aspve1_0082834
FOG13837	HOG09623	ISY1	ISY1								Member of the NineTeen Complex (NTC); NTC contains Prp19p and stabilizes U6 snRNA in catalytic forms of spliceosome containing U2, U5, and U6 snRNAs; interacts with Prp16p to modulate splicing fidelity; isy1 syf2 cells have defective spindles 	complexed with Cdc5 protein Cwf12	Ortholog(s) have Prp19 complex, cytosol, spliceosomal complex localization
FOG13838	HOG09624								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0164779, Aspergillus brasiliensis : Aspbr1_0028343, Aspergillus kawachii : Aspka1_0178312 and Aspergillus acidus : Aspfo1_0037707
FOG13839	HOG09625												Has domain(s) with predicted hydrolase activity, hydrolase activity, acting on acid halide bonds, in C-halide compounds activity and role in metabolic process
FOG13841	HOG09627												Has domain(s) with predicted DNA binding, zinc ion binding activity
FOG13842	HOG09628								added via ODB8				Ortholog of Aspergillus brasiliensis : Aspbr1_0075991, Aspergillus kawachii : Aspka1_0172794 and Aspergillus acidus : Aspfo1_0217513
FOG13844	HOG09630								added via ODB8				Has domain(s) with predicted catalytic activity, protein serine/threonine phosphatase activity and role in protein dephosphorylation
FOG13845	HOG09631										Putative protein of unknown function; predicted to be an integal membrane protein	transmembrane transporter (predicted)	Ortholog of A. nidulans FGSC A4 : AN2940, A. fumigatus Af293 : Afu3g08240, A. oryzae RIB40 : AO090005001456, Aspergillus wentii : Aspwe1_0052338 and Aspergillus sydowii : Aspsy1_0056317
FOG13846	HOG09632								added via ODB8				Ortholog(s) have mitochondrion localization
FOG13847	HOG09633	SHO1	SHO1								Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p, Msb2p, Hkr1p, and Ste11p		Ortholog(s) have MAP-kinase scaffold activity, osmosensor activity
FOG13850	HOG09636								added via ODB8				Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG13851	HOG09637	MSA1	MSA1								Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog, MSA2, that arose from the whole genome duplication		
FOG13852	HOG09638								added via ODB8				Has domain(s) with predicted O-methyltransferase activity
FOG13855	HOG09641								added via ODB8				Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG13858	HOG09644												Has domain(s) with predicted sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated
FOG13860	HOG09646								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4083, A. fumigatus Af293 : Afu1g05590, A. oryzae RIB40 : AO090009000382, Aspergillus wentii : Aspwe1_0169293 and Aspergillus sydowii : Aspsy1_0201498
FOG13862	HOG09648										Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm		
FOG13863	HOG09649	DBP6	DBP6								Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family	ATP-dependent RNA helicase Dbp6 (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG13866	HOG09652	SSD1	SSD1								Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function	RNB-like protein|ribonuclease II (RNB) family, involved in nuclear-transcribed mRNA catabolic process (predicted)	Ortholog(s) have mRNA 3'-UTR binding, mRNA 5'-UTR binding, translation repressor activity, nucleic acid binding activity
FOG13868	HOG09654								added via ODB8				Protein of unknown function
FOG13878	HOG09664								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5063, Neosartorya fischeri NRRL 181 : NFIA_074500, Aspergillus sydowii : Aspsy1_0038892 and Aspergillus terreus NIH2624 : ATET_07074
FOG13882	HOG09668								added via ODB8				Ortholog of Aspergillus brasiliensis : Aspbr1_0664012, Aspergillus kawachii : Aspka1_0179166, Aspergillus acidus : Aspfo1_0182494 and Aspergillus niger ATCC 1015 : 37152-mRNA
FOG13884	HOG09670								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5034, Aspergillus wentii : Aspwe1_0042624, Aspwe1_0046716, Aspergillus versicolor : Aspve1_0127134, Aspve1_0879797 and Aspergillus niger ATCC 1015 : 38042-mRNA
FOG13885	HOG09671												Has domain(s) with predicted hydrolase activity and role in metabolic process
FOG13886	HOG09672												Has domain(s) with predicted transferase activity, transferring hexosyl groups activity and role in metabolic process
FOG13887	HOG09673								added via ODB8				Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG13888	HOG09674												Ortholog of A. nidulans FGSC A4 : AN3519, AN2646, AN0587, AN0866, AN7370 and A. fumigatus Af293 : Afu1g15200, Afu3g03790, Afu4g14040, Afu5g06900, Afu7g08575
FOG13889	HOG09675								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5259, A. fumigatus Af293 : Afu4g14660, Afu5g01100, A. niger CBS 513.88 : An16g07020 and Aspergillus wentii : Aspwe1_0055325, Aspwe1_0172784
FOG13890	HOG09676	SAC6	SAC6								Fimbrin, actin-bundling protein; cooperates with calponin/transgelin Scp1p in organization and maintenance of actin cytoskeleton; relocalizes from plasma membrane to cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant	fimbrin	
